Year,Country,Number
1989,US,22217
1989,RS,35078
1989,UK,350
1989,FR,410
1989,CN,230
1989,IS,230
1989,IN,0
1989,PK,0
1989,NK,0
1990,US,21392
1990,RS,32980
1990,UK,350
1990,FR,505
1990,CN,232
1990,IS,232
1990,IN,0
1990,PK,0
1990,NK,0
1991,US,19008
1991,RS,29154
1991,UK,350
1991,FR,540
1991,CN,234
1991,IS,234
1991,IN,0
1991,PK,0
1991,NK,0
1992,US,13708
1992,RS,26734
1992,UK,250
1992,FR,540
1992,CN,234
1992,IS,234
1992,IN,0
1992,PK,0
1992,NK,0
1993,US,11511
1993,RS,24403
1993,UK,250
1993,FR,525
1993,CN,234
1993,IS,234
1993,IN,0
1993,PK,0
1993,NK,0
1994,US,10979
1994,RS,21339
1994,UK,250
1994,FR,510
1994,CN,234
1994,IS,234
1994,IN,0
1994,PK,0
1994,NK,0
1995,US,10904
1995,RS,18179
1995,UK,234
1995,FR,500
1995,CN,234
1995,IS,234
1995,IN,0
1995,PK,0
1995,NK,0
1996,US,11011
1996,RS,15942
1996,UK,203
1996,FR,450
1996,CN,234
1996,IS,234
1996,IN,0
1996,PK,0
1996,NK,0
1997,US,10903
1997,RS,15542
1997,UK,203
1997,FR,450
1997,CN,232
1997,IS,232
1997,IN,0
1997,PK,0
1997,NK,0
1998,US,10732
1998,RS,14368
1998,UK,240
1998,FR,450
1998,CN,232
1998,IS,232
1998,IN,3
1998,PK,2
1998,NK,0
1999,US,10685
1999,RS,13188
1999,UK,240
1999,FR,450
1999,CN,232
1999,IS,232
1999,IN,8
1999,PK,8
1999,NK,0
2000,US,10577
2000,RS,12188
2000,UK,280
2000,FR,470
2000,CN,232
2000,IS,232
2000,IN,13
2000,PK,14
2000,NK,0
2001,US,10526
2001,RS,11152
2001,UK,280
2001,FR,350
2001,CN,235
2001,IS,235
2001,IN,18
2001,PK,20
2001,NK,0
2002,US,10457
2002,RS,10114
2002,UK,280
2002,FR,350
2002,CN,235
2002,IS,235
2002,IN,23
2002,PK,26
2002,NK,0
2003,US,10027
2003,RS,9076
2003,UK,280
2003,FR,350
2003,CN,235
2003,IS,235
2003,IN,28
2003,PK,32
2003,NK,0
2004,US,8570
2004,RS,8038
2004,UK,280
2004,FR,350
2004,CN,235
2004,IS,235
2004,IN,33
2004,PK,38
2004,NK,0
2005,US,8360
2005,RS,7000
2005,UK,280
2005,FR,350
2005,CN,235
2005,IS,235
2005,IN,38
2005,PK,44
2005,NK,0
2006,US,7853
2006,RS,6643
2006,UK,225
2006,FR,350
2006,CN,235
2006,IS,235
2006,IN,43
2006,PK,50
2006,NK,0
2007,US,5709
2007,RS,6286
2007,UK,225
2007,FR,350
2007,CN,235
2007,IS,235
2007,IN,50
2007,PK,60
2007,NK,0
2008,US,5273
2008,RS,5929
2008,UK,225
2008,FR,300
2008,CN,235
2008,IS,235
2008,IN,60
2008,PK,70
2008,NK,0
2009,US,5113
2009,RS,5527
2009,UK,225
2009,FR,300
2009,CN,240
2009,IS,240
2009,IN,70
2009,PK,80
2009,NK,0
2010,US,5066
2010,RS,5215
2010,UK,225
2010,FR,300
2010,CN,240
2010,IS,240
2010,IN,80
2010,PK,90
2010,NK,0
2011,US,4897
2011,RS,4858
2011,UK,225
2011,FR,300
2011,CN,240
2011,IS,240
2011,IN,90
2011,PK,100
2011,NK,0
2012,US,4881
2012,RS,4750
2012,UK,225
2012,FR,300
2012,CN,240
2012,IS,240
2012,IN,100
2012,PK,110
2012,NK,0
2013,US,4804
2013,RS,4650
2013,UK,225
2013,FR,300
2013,CN,250
2013,IS,250
2013,IN,110
2013,PK,115
2013,NK,1
2014,US,4717
2014,RS,4600
2014,UK,220
2014,FR,300
2014,CN,250
2014,IS,250
2014,IN,100
2014,PK,120
2014,NK,2
2015,US,4571
2015,RS,4500
2015,UK,220
2015,FR,300
2015,CN,260
2015,IS,260
2015,IN,110
2015,PK,125
2015,NK,3
2016,US,4018
2016,RS,4490
2016,UK,215
2016,FR,300
2016,CN,260
2016,IS,260
2016,IN,120
2016,PK,130
2016,NK,4
2017,US,4000
2017,RS,4300
2017,UK,215
2017,FR,300
2017,CN,270
2017,IS,270
2017,IN,130
2017,PK,140
2017,NK,5
2018,US,4000
2018,RS,4350
2018,UK,215
2018,FR,300
2018,CN,280
2018,IS,280
2018,IN,135
2018,PK,145
2018,NK,10
2019,US,3800
2019,RS,4490
2019,UK,215
2019,FR,300
2019,CN,290
2019,IS,290
2019,IN,140
2019,PK,150
2019,NK,15
2020,US,3800
2020,RS,4310
2020,UK,195
2020,FR,290
2020,CN,320
2020,IS,320
2020,IN,150
2020,PK,160
2020,NK,35
